id,name,started,sent,received,total,relationship
0,A.I.,13/07/2012 14:10,81,59,140,0
3,D.W.,19/04/2012 12:20,1,1,2,2
4,N.A.,26/10/2011 05:32,1,1,2,2
6,I.G.,22/10/2015 14:45,17,25,42,2
7,A.I.,13/06/2013 12:57,75,20,95,1
15,Y.S.,01/03/2018 11:57,0,1,1,0
16,D.C.,19/04/2012 12:20,1,0,1,2
18,S.F.L.,08/01/2012 14:00,1351,1498,2849,0
19,A.W.,24/08/2014 03:48,11,13,24,1
21,C.D.,09/10/2017 21:58,0,1,1,1
23,S.R.,04/05/2017 20:42,10,7,17,2
24,E.K.C.,18/07/2017 14:10,20389,41792,62181,0
30,A.I.,17/09/2012 12:19,146,62,208,0
33,Y.A.,05/11/2019 15:04,0,1,1,2
34,T.E.,28/09/2017 19:26,165,186,351,1
37,J.L.,04/06/2011 05:22,3,0,3,2
38,P.L.,03/06/2011 09:56,240,373,613,1
39,A.S.,19/04/2012 12:21,1,0,1,0
40,W.L.,11/03/2012 03:12,26,35,61,2
47,J.L.,21/10/2011 09:09,13,34,47,1
48,N.X.,07/02/2014 02:58,54,64,118,1
50,D.H.,19/04/2012 12:21,7,9,16,2
53,S.F.,19/10/2017 17:29,0,1,1,2
54,D.E.,16/10/2017 15:52,132,123,255,0
56,A.W.,21/10/2016 04:22,1,1,2,0
58,K.B.,27/08/2011 00:44,42,68,110,1
61,L.L.,14/07/2015 19:43,35,34,69,2
62,I.B.,26/11/2017 15:31,46,69,115,1
63,I.H.,26/11/2019 17:14,0,1,1,0
64,A.M.,26/05/2014 11:48,4483,5032,9515,1
65,A.I.,13/10/2017 14:40,67000,78076,145076,0
68,S.G.,12/11/2014 12:36,8688,10384,19072,1
69,A.O.,29/09/2011 12:41,74,67,141,0
70,R.D.,19/04/2011 13:23,285,603,888,1
71,T.C.,16/06/2011 10:12,1,1,2,1
75,W.P.,06/12/2016 21:09,29487,70364,99851,2
78,H.L.,08/09/2011 09:33,55,49,104,2
80,S.R.,25/05/2011 22:22,2,4,6,0
81,L.E.,22/07/2011 12:20,76,111,187,2
83,M.K.,26/02/2018 10:35,12918,17589,30507,0
87,R.T.,19/04/2012 12:20,1,0,1,2
88,E.A.,07/02/2014 02:41,99,121,220,2
91,B.W.,19/03/2017 19:32,2,1,3,0
92,D.K.,27/07/2012 07:15,356,858,1214,0
93,I.H.,02/06/2012 05:29,2,4,6,1
94,S.S.,12/01/2011 12:36,95,115,210,0
95,M.J.L.,19/04/2012 12:21,1,1,2,1
97,E.C.,26/01/2013 11:21,5,2,7,0
98,M.C.,06/03/2012 10:01,1,1,2,1
101,D.M.,09/07/2011 13:30,8,6,14,0
103,M.M.,14/06/2011 09:47,17,29,46,2
105,C.B.,19/09/2011 10:32,6,9,15,1
108,V.S.,30/11/2011 11:31,97,93,190,2
109,H.O.,21/05/2018 17:13,36,39,75,2
111,A.C.,16/10/2017 21:46,74,139,213,1
115,J.S.,19/04/2012 12:20,203,227,430,2
117,O.M.,21/08/2011 11:11,228,258,486,1
121,I.S.,11/11/2014 12:53,2414,6568,8982,2
122,N.Y.,21/06/2015 09:32,1,1,2,1
127,S.M.,06/09/2011 10:36,2,1,3,2
129,C.C.,19/04/2012 12:21,1,0,1,1
130,K.T.,13/02/2018 19:43,12,21,33,0
131,A.B.,13/01/2017 10:08,5,5,10,2
132,M.G.,19/04/2012 12:20,100,124,224,2
134,A.W.,17/08/2011 14:08,10,19,29,2
139,R.M.,16/04/2011 08:04,1165,1662,2827,2
140,A.M.,19/04/2012 12:20,1,0,1,2
141,A.I.,13/09/2012 14:18,59,24,83,1
142,N.L.,19/04/2012 12:21,1,0,1,1
145,M.C.W.W.,27/07/2017 23:35,0,1,1,2
146,S.B.,26/09/2016 15:05,1877,1784,3661,1
147,N.C.,26/10/2011 09:56,41,87,128,0
149,L.K.C.,31/12/2018 04:58,0,1,1,0
151,T.K.,19/04/2012 12:21,1,0,1,1
152,B.N.,14/10/2013 11:05,2,1,3,0
153,R.L.L.,06/02/2016 11:19,3,4,7,0
155,M.L.,18/10/2011 10:07,19,25,44,2
157,R.R.,30/01/2015 11:22,1,0,1,2
159,M.R.,26/10/2013 06:59,2413,2910,5323,2
160,C.A.,20/10/2011 13:32,4,4,8,0
161,N.G.Y.,10/10/2013 08:25,83,58,141,1
166,H.H.,14/07/2018 11:44,7,4,11,0
168,M.S.,07/02/2014 02:41,20,13,33,2
172,P.R.S.,19/04/2012 12:21,2,2,4,2
173,J.D.B.,03/10/2019 17:58,95,115,210,1
176,A.C.,06/01/2019 10:46,0,1,1,2
178,K.N.,19/04/2012 12:20,1,0,1,2
181,A.S.,10/05/2012 10:07,84,196,280,2
186,E.L.,22/10/2014 07:29,7,3,10,0
188,V.S.B.,19/04/2012 12:20,4,3,7,2
189,K.K.L.,27/09/2015 07:45,93,78,171,0
191,M.D.,16/10/2017 16:06,283,288,571,2
193,P.L.,17/09/2013 08:04,1412,1845,3257,1
194,J.N.,11/04/2016 07:18,9,11,20,0
195,R.S.,07/06/2011 11:45,5,9,14,1
198,C.N.,09/07/2011 14:37,1035,1462,2497,0
200,B.T.,16/02/2018 08:03,2,3,5,2
204,T.D.,16/02/2018 16:44,11,11,22,2
206,H.W.,05/03/2011 07:16,140,236,376,0
208,C.N.,25/09/2017 19:31,1,1,2,2
209,N.L.,30/04/2012 15:28,1,0,1,2
210,K.R.G.,07/02/2014 02:44,194,290,484,0
