id,name,started,sent,received,total,relationship
0,A.D.,2018-02-21 20:24:46,7,4,11,0
2,A.F.,2018-06-29 20:06:13,108,128,236,0
5,A.P.,2018-01-06 20:46:38,133,144,277,2
6,A.F.,2018-07-21 17:57:20,1,0,1,0
7,A.J.,2018-01-15 15:35:11,56,87,143,2
8,A.S.,2018-08-07 15:26:11,71,80,151,0
9,A.D.,2018-09-13 10:50:59,1,1,2,1
10,B.E.,2018-01-01 03:08:58,15,26,41,1
12,B.P.,2018-03-08 03:07:07,5,4,9,2
13,B.S.,2018-02-19 14:08:33,1,3,4,2
14,B.K.,2018-06-17 23:51:34,13,5,18,2
17,B.G.,2018-06-26 23:11:09,52,74,126,2
18,B.J.,2018-10-21 21:22:45,0,1,1,0
19,C.M.,2018-03-08 03:09:04,1,2,3,2
20,C.G.,2018-01-12 13:02:57,6,10,16,2
22,C.M.,2018-02-16 10:36:48,7,12,19,0
24,C.F.,2018-12-03 10:40:08,1,1,2,0
25,C.S.A.,2018-10-03 19:35:50,4,6,10,1
26,C.N.,2018-11-16 20:07:54,21,36,57,0
27,C.D.,2018-12-24 21:27:06,1,1,2,2
28,C.M.,2018-02-14 16:29:22,25,39,64,1
30,D.F.,2018-02-04 20:22:25,3,4,7,1
31,D.M.W.,2018-02-09 11:47:32,4,8,12,0
32,D.J.,2018-03-19 19:43:31,73,115,188,1
33,D.B.,2018-06-27 20:45:14,41,64,105,1
34,E.S.,2018-01-10 16:22:39,7,4,11,0
35,E.M.,2018-03-24 04:28:22,5,12,17,0
36,E.W.,2018-07-06 17:09:23,21,19,40,0
37,E.K.,2018-10-01 10:06:03,23,27,50,0
38,E.A.,2018-02-28 01:06:46,40,32,72,1
39,E.J.,2018-04-15 17:13:36,1,1,2,2
40,F.U.,2018-01-04 15:39:59,7,7,14,1
42,F.M.,2018-09-08 17:31:39,51,72,123,2
44,G.D.,2018-06-12 16:18:49,3,3,6,1
45,G.S.,2018-04-17 03:29:17,6,10,16,2
46,G.H.,2018-04-06 22:02:41,3,4,7,0
47,H.O.,2018-04-20 15:12:21,9,14,23,2
48,H.K.,2018-07-21 21:16:39,31,45,76,1
51,J.K.,2018-04-01 16:16:56,19,41,60,0
52,J.L.,2018-02-02 12:30:58,6,4,10,2
55,J.A.,2018-03-11 14:43:23,2,1,3,2
56,J.F.,2018-03-16 13:31:17,10,10,20,2
57,J.S.,2018-01-19 11:17:22,10,15,25,2
59,J.C.,2018-03-30 16:31:40,3,3,6,0
60,J.T.,2018-06-25 18:37:20,191,253,444,2
61,J.G.,2018-05-28 16:14:33,1,1,2,2
62,J.B.,2018-08-09 00:41:36,7,17,24,1
63,J.N.,2018-01-10 15:01:13,63,87,150,1
64,J.W.,2018-02-26 16:05:12,1,1,2,1
66,J.W.,2018-02-27 09:18:24,58,51,109,2
67,J.M.,2018-01-19 22:29:09,0,3,3,1
68,J.C.,2018-07-06 14:59:17,155,234,389,1
69,K.G.,2018-09-29 02:49:12,25,24,49,2
70,K.S.,2018-06-17 21:45:22,7,7,14,0
71,K.G.,2018-03-22 23:07:47,0,3,3,0
72,K.K.,2018-02-01 16:59:10,58,81,139,2
73,K.M.,2018-06-12 16:17:12,4,2,6,1
76,L.G.,2018-01-13 00:17:46,169,166,335,1
77,L.M.,2018-07-13 10:59:57,14,8,22,2
79,L.S.,2018-06-13 14:28:48,3,1,4,1
80,L.M.,2018-03-04 19:41:08,17,15,32,2
81,L.T.,2018-03-15 10:17:04,0,1,1,2
83,M.B.,2018-06-28 11:24:06,1,1,2,2
84,M.R.,2018-11-10 21:14:09,14,27,41,1
85,M.P.,2018-06-25 18:05:14,1,1,2,0
87,O.C.,2018-04-25 01:19:17,1,2,3,1
89,P.C.,2018-07-24 17:47:28,145,147,292,0
94,R.N.,2018-08-29 21:23:33,2,2,4,1
95,R.P.,2018-08-18 00:02:41,0,1,1,0
97,R.M.,2018-04-17 11:47:09,1,0,1,2
99,S.P.,2018-07-01 11:42:08,1,1,2,0
100,S.B.,2018-07-07 23:02:41,231,418,649,2
101,S.B.,2018-05-17 03:19:13,1,2,3,1
102,S.N.,2018-06-17 14:32:02,3,5,8,0
105,S.M.,2018-03-08 15:44:19,5,3,8,0
106,S.K.,2018-07-06 18:36:46,19,15,34,2
109,T.B.,2018-06-25 11:37:31,569,915,1484,2
110,T.P.,2018-01-15 15:26:54,249,273,522,1
111,V.G.,2018-06-20 17:37:42,6,5,11,1
114,Z.C.,2018-02-10 13:18:22,5,6,11,2
115,Z.B.,2018-03-13 15:31:46,1,1,2,0
